ProductKey,ProductAlternateKey,EnglishProductName,StandardCost,Color,ModelName,EnglishDescription,Status,EnglishProductSubcategoryName,EnglishProductCategoryName
210,FR-R92B-58,"HL Road Frame - Black, 58",NULL,Black,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current,Road Frames,Components
211,FR-R92R-58,"HL Road Frame - Red, 58",NULL,Red,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current,Road Frames,Components
212,HL-U509-R,"Sport-100 Helmet, Red",12.0278,Red,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",NULL,Helmets,Accessories
213,HL-U509-R,"Sport-100 Helmet, Red",13.8782,Red,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",NULL,Helmets,Accessories
214,HL-U509-R,"Sport-100 Helmet, Red",13.0863,Red,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current,Helmets,Accessories
215,HL-U509,"Sport-100 Helmet, Black",12.0278,Black,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",NULL,Helmets,Accessories
216,HL-U509,"Sport-100 Helmet, Black",13.8782,Black,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",NULL,Helmets,Accessories
217,HL-U509,"Sport-100 Helmet, Black",13.0863,Black,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current,Helmets,Accessories
218,SO-B909-M,"Mountain Bike Socks, M",3.3963,White,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,NULL,Socks,Clothing
219,SO-B909-L,"Mountain Bike Socks, L",3.3963,White,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,NULL,Socks,Clothing
220,HL-U509-B,"Sport-100 Helmet, Blue",12.0278,Blue,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",NULL,Helmets,Accessories
221,HL-U509-B,"Sport-100 Helmet, Blue",13.8782,Blue,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",NULL,Helmets,Accessories
222,HL-U509-B,"Sport-100 Helmet, Blue",13.0863,Blue,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current,Helmets,Accessories
223,CA-1098,AWC Logo Cap,5.7052,Multi,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,NULL,Caps,Clothing
224,CA-1098,AWC Logo Cap,5.2297,Multi,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,NULL,Caps,Clothing
225,CA-1098,AWC Logo Cap,6.9223,Multi,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Current,Caps,Clothing
226,LJ-0192-S,"Long-Sleeve Logo Jersey, S",31.7244,Multi,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,NULL,Jerseys,Clothing
227,LJ-0192-S,"Long-Sleeve Logo Jersey, S",29.0807,Multi,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,NULL,Jerseys,Clothing
228,LJ-0192-S,"Long-Sleeve Logo Jersey, S",38.4923,Multi,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current,Jerseys,Clothing
229,LJ-0192-M,"Long-Sleeve Logo Jersey, M",31.7244,Multi,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,NULL,Jerseys,Clothing
230,LJ-0192-M,"Long-Sleeve Logo Jersey, M",29.0807,Multi,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,NULL,Jerseys,Clothing
231,LJ-0192-M,"Long-Sleeve Logo Jersey, M",38.4923,Multi,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current,Jerseys,Clothing
232,LJ-0192-L,"Long-Sleeve Logo Jersey, L",31.7244,Multi,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,NULL,Jerseys,Clothing
233,LJ-0192-L,"Long-Sleeve Logo Jersey, L",29.0807,Multi,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,NULL,Jerseys,Clothing
234,LJ-0192-L,"Long-Sleeve Logo Jersey, L",38.4923,Multi,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current,Jerseys,Clothing
235,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",31.7244,Multi,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,NULL,Jerseys,Clothing
236,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",29.0807,Multi,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,NULL,Jerseys,Clothing
237,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",38.4923,Multi,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current,Jerseys,Clothing
238,FR-R92R-62,"HL Road Frame - Red, 62",747.9682,Red,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,NULL,Road Frames,Components
239,FR-R92R-62,"HL Road Frame - Red, 62",722.2568,Red,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,NULL,Road Frames,Components
240,FR-R92R-62,"HL Road Frame - Red, 62",868.6342,Red,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current,Road Frames,Components
241,FR-R92R-44,"HL Road Frame - Red, 44",747.9682,Red,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,NULL,Road Frames,Components
242,FR-R92R-44,"HL Road Frame - Red, 44",722.2568,Red,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,NULL,Road Frames,Components
243,FR-R92R-44,"HL Road Frame - Red, 44",868.6342,Red,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current,Road Frames,Components
244,FR-R92R-48,"HL Road Frame - Red, 48",747.9682,Red,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,NULL,Road Frames,Components
245,FR-R92R-48,"HL Road Frame - Red, 48",722.2568,Red,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,NULL,Road Frames,Components
246,FR-R92R-48,"HL Road Frame - Red, 48",868.6342,Red,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current,Road Frames,Components
247,FR-R92R-52,"HL Road Frame - Red, 52",747.9682,Red,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,NULL,Road Frames,Components
248,FR-R92R-52,"HL Road Frame - Red, 52",722.2568,Red,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,NULL,Road Frames,Components
249,FR-R92R-52,"HL Road Frame - Red, 52",868.6342,Red,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current,Road Frames,Components
250,FR-R92R-56,"HL Road Frame - Red, 56",747.9682,Red,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,NULL,Road Frames,Components
251,FR-R92R-56,"HL Road Frame - Red, 56",722.2568,Red,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,NULL,Road Frames,Components
252,FR-R92R-56,"HL Road Frame - Red, 56",868.6342,Red,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current,Road Frames,Components
253,FR-R38B-58,"LL Road Frame - Black, 58",176.1997,Black,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",NULL,Road Frames,Components
254,FR-R38B-58,"LL Road Frame - Black, 58",170.1428,Black,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",NULL,Road Frames,Components
255,FR-R38B-58,"LL Road Frame - Black, 58",204.6251,Black,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current,Road Frames,Components
256,FR-R38B-60,"LL Road Frame - Black, 60",176.1997,Black,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",NULL,Road Frames,Components
257,FR-R38B-60,"LL Road Frame - Black, 60",170.1428,Black,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",NULL,Road Frames,Components
258,FR-R38B-60,"LL Road Frame - Black, 60",204.6251,Black,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current,Road Frames,Components
259,FR-R38B-62,"LL Road Frame - Black, 62",176.1997,Black,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",NULL,Road Frames,Components
260,FR-R38B-62,"LL Road Frame - Black, 62",170.1428,Black,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",NULL,Road Frames,Components
261,FR-R38B-62,"LL Road Frame - Black, 62",204.6251,Black,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current,Road Frames,Components
262,FR-R38R-44,"LL Road Frame - Red, 44",181.4857,Red,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",NULL,Road Frames,Components
263,FR-R38R-44,"LL Road Frame - Red, 44",187.1571,Red,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",NULL,Road Frames,Components
264,FR-R38R-48,"LL Road Frame - Red, 48",181.4857,Red,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",NULL,Road Frames,Components
265,FR-R38R-48,"LL Road Frame - Red, 48",187.1571,Red,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",NULL,Road Frames,Components
